Abandon:       Forsake
Accomplish:       Achieve
Acquire:       Obtain
Adapt:       Adjust
Advocate:       Support
Analyze:       Examine
Apply:       Utilize
Ascend:       Climb
Assess:       Evaluate
Assume:       Presume
Benefit:       Advantage
Brave: Clever
Coexist:       Exist together
Collaborate:       Cooperate
Comprehend:       Understand
Contribute:       Donate
Convey:       Transmit
Deduce:       Infer
Defend:       Protect
Describe:       Portray
Detect:       Discover
Differentiate:       Distinguish
Discover:       Uncover
Distribute:       Disperse
Educate:       Instruct
Eliminate:       Remove
Encourage:       Inspire
Enhance:       Improve
Establish:       Found
Evaluate:       Assess
Evoke:       Invoke
Examine:       Scrutinize
Expand:       Enlarge
Explain:       Clarify
Explore:       Investigate
Extract:       Remove
Facilitate:       Aid
Formulate:       Devise
Generate:       Produce
Identify:       Recognize
Illustrate:       Demonstrate
Implement:       Execute
Improve:       Enhance
Include:       Incorporate
Indicate:       Suggest
Influence:       Impact
Inquire:       Ask
Inspect:       Examine
Integrate:       Combine
Interpret:       Explain
Introduce:       Present
Investigate:       Examine
Maintain:       Sustain
Monitor:       Observe
Motivate:       Inspire
Negotiate:       Discuss
Observe:       Watch
Obtain:       Acquire
Operate:       Function
Participate:       Engage
Perform:       Execute
Persuade:       Convince
Predict:       Forecast
Prepare:       Arrange
Preserve:       Protect
Produce:       Generate
Promote:       Advertise
Propose:       Suggest
Protect:       Safeguard
Provide:       Supply
Pursue:       Chase
Qualify:       Meet the requirements
Question:       Inquire
React:       Respond
Recall:       Remember
Recommend:       Suggest
Reduce:       Decrease
Refer:       Mention
Reflect:       Contemplate
Regulate:       Control
Reject:       Decline
Replace:       Substitute
Represent:       Depict
Request:       Ask for
Require:       Need
Resolve:       Settle
Respond:       Reply
Retrieve:       Recover
Review:       Examine
Revise:       Modify
Satisfy:       Fulfill
Schedule:       Plan
Select:       Choose
Solve:       Find a solution

